4.55,0.13816581666469574,MP5-SD | Kitbash (Minimal Wear)
13.5,0.044517409056425095,Galil AR | Connexion (Factory New)
13.5,0.016666589304804802,Galil AR | Connexion (Factory New)
13.69,0.018034642562270164,Galil AR | Connexion (Factory New)
13.69,0.013515953905880451,Galil AR | Connexion (Factory New)
13.69,0.017927560955286026,Galil AR | Connexion (Factory New)
13.7,0.01587574928998947,Galil AR | Connexion (Factory New)
13.77,0.01254063006490469,Galil AR | Connexion (Factory New)
13.77,0.012562061659991741,Galil AR | Connexion (Factory New)
13.77,0.017437389120459557,Galil AR | Connexion (Factory New)
13.83,0.016411589458584785,Galil AR | Connexion (Factory New)
13.85,0.013063052669167519,Galil AR | Connexion (Factory New)
13.87,0.029648447409272194,Galil AR | Connexion (Factory New)
13.88,0.05583908036351204,Galil AR | Connexion (Factory New)
13.88,0.02266109548509121,Galil AR | Connexion (Factory New)
13.88,0.027145979925990105,Galil AR | Connexion (Factory New)
13.88,0.029434729367494583,Galil AR | Connexion (Factory New)
13.9,0.019703540951013565,Galil AR | Connexion (Factory New)
14,0.0659690871834755,Galil AR | Connexion (Factory New)
14,0.05524563789367676,Galil AR | Connexion (Factory New)
14,0.06845592707395554,Galil AR | Connexion (Factory New)
14,0.06809934228658676,Galil AR | Connexion (Factory New)
14,0.04905344173312187,Galil AR | Connexion (Factory New)
14,0.06783562153577805,Galil AR | Connexion (Factory New)
14,0.019021030515432358,Galil AR | Connexion (Factory New)
14,0.018707605078816414,Galil AR | Connexion (Factory New)
14,0.021519852802157402,Galil AR | Connexion (Factory New)
14.11,0.038006410002708435,Galil AR | Connexion (Factory New)
14.15,0.018514154478907585,Galil AR | Connexion (Factory New)
14.15,0.01158114429563284,Galil AR | Connexion (Factory New)
14.15,0.011407413519918919,Galil AR | Connexion (Factory New)
14.15,0.016448084264993668,Galil AR | Connexion (Factory New)
14.15,0.014805520884692669,Galil AR | Connexion (Factory New)
14.15,0.010909943841397762,Galil AR | Connexion (Factory New)
14.15,0.010706654749810696,Galil AR | Connexion (Factory New)
14.15,0.012336116284132004,Galil AR | Connexion (Factory New)
14.15,0.011864792555570602,Galil AR | Connexion (Factory New)
14.15,0.010653565637767315,Galil AR | Connexion (Factory New)
14.17,0.01957947015762329,Galil AR | Connexion (Factory New)
14.2,0.018540138378739357,Galil AR | Connexion (Factory New)
14.5,0.014145227149128914,Galil AR | Connexion (Factory New)
14.5,0.011721333488821983,Galil AR | Connexion (Factory New)
14.9,0.007448580116033554,Galil AR | Connexion (Factory New)
14.99,0.007236558943986893,Galil AR | Connexion (Factory New)
15,0.06840243190526962,Galil AR | Connexion (Factory New)
15,0.06782346218824387,Galil AR | Connexion (Factory New)
15,0.06523707509040833,Galil AR | Connexion (Factory New)
15,0.06514723598957062,Galil AR | Connexion (Factory New)
15,0.06937478482723236,Galil AR | Connexion (Factory New)
15,0.06916045397520065,Galil AR | Connexion (Factory New)
15,0.06635989993810654,Galil AR | Connexion (Factory New)
15,0.06748951971530914,Galil AR | Connexion (Factory New)
15,0.06169695779681206,Galil AR | Connexion (Factory New)
15,0.05583382770419121,Galil AR | Connexion (Factory New)
15,0.05595099925994873,Galil AR | Connexion (Factory New)
15,0.06882543116807938,Galil AR | Connexion (Factory New)
15,0.06903678178787231,Galil AR | Connexion (Factory New)
15,0.0640689954161644,Galil AR | Connexion (Factory New)
15,0.04603184387087822,Galil AR | Connexion (Factory New)
15,0.0689966231584549,Galil AR | Connexion (Factory New)
15,0.035372644662857056,Galil AR | Connexion (Factory New)
15,0.06778448075056076,Galil AR | Connexion (Factory New)
15,0.04808387905359268,Galil AR | Connexion (Factory New)
15,0.02786594070494175,Galil AR | Connexion (Factory New)
15,0.0669371709227562,Galil AR | Connexion (Factory New)
15,0.015132303349673748,Galil AR | Connexion (Factory New)
15,0.06149522215127945,Galil AR | Connexion (Factory New)
15,0.009534680284559727,Galil AR | Connexion (Factory New)
15.08,0.007023979909718037,Galil AR | Connexion (Factory New)
15.09,0.008941875770688057,Galil AR | Connexion (Factory New)
15.1,0.0074979462660849094,Galil AR | Connexion (Factory New)
15.18,0.008403337560594082,Galil AR | Connexion (Factory New)
15.2,0.008069849573075771,Galil AR | Connexion (Factory New)
15.39,0.058908093720674515,Galil AR | Connexion (Factory New)
15.5,0.009637661278247833,Galil AR | Connexion (Factory New)
15.7,0.06638244539499283,Galil AR | Connexion (Factory New)
15.88,0.06454787403345108,Galil AR | Connexion (Factory New)
16,0.06970120966434479,Galil AR | Connexion (Factory New)
16,0.025550169870257378,Galil AR | Connexion (Factory New)
16,0.06920880824327469,Galil AR | Connexion (Factory New)
16,0.06666967272758484,Galil AR | Connexion (Factory New)
16.5,0.05040893703699112,Galil AR | Connexion (Factory New)
16.66,0.06666059792041779,Galil AR | Connexion (Factory New)
16.66,0.06447017937898636,Galil AR | Connexion (Factory New)
16.75,0.010622981004416943,Galil AR | Connexion (Factory New)
17,0.04262175038456917,Galil AR | Connexion (Factory New)
17,0.006641158368438482,Galil AR | Connexion (Factory New)
17.44,0.06693312525749207,Galil AR | Connexion (Factory New)
17.9,0.003016767790541053,Galil AR | Connexion (Factory New)
17.99,0.004737881477922201,Galil AR | Connexion (Factory New)
18,0.05556013062596321,Galil AR | Connexion (Factory New)
18,0.06455843895673752,Galil AR | Connexion (Factory New)
18,0.03888217359781265,Galil AR | Connexion (Factory New)
18,0.06724023073911667,Galil AR | Connexion (Factory New)
18,0.010301703587174416,Galil AR | Connexion (Factory New)
18.88,0.06781329959630966,Galil AR | Connexion (Factory New)
18.9,0.010254710912704468,Galil AR | Connexion (Factory New)
19,0.03402765840291977,Galil AR | Connexion (Factory New)
19,0.045390717685222626,Galil AR | Connexion (Factory New)
19,0.06666762381792068,Galil AR | Connexion (Factory New)
19,0.06498445570468903,Galil AR | Connexion (Factory New)
19.76,0.010518870316445827,Galil AR | Connexion (Factory New)
19.9,0.06541232764720917,Galil AR | Connexion (Factory New)
20,0.06801103800535202,Galil AR | Connexion (Factory New)
20,0.0643656998872757,Galil AR | Connexion (Factory New)
20,0.06468585133552551,Galil AR | Connexion (Factory New)
20,0.06439664959907532,Galil AR | Connexion (Factory New)
20,0.03990791738033295,Galil AR | Connexion (Factory New)
20,0.0643865317106247,Galil AR | Connexion (Factory New)
20,0.0671883225440979,Galil AR | Connexion (Factory New)
20,0.048244014382362366,Galil AR | Connexion (Factory New)
20,0.0207081101834774,Galil AR | Connexion (Factory New)
20,0.06436368823051453,Galil AR | Connexion (Factory New)
20,0.06609966605901718,Galil AR | Connexion (Factory New)
20,0.011879254132509232,Galil AR | Connexion (Factory New)
20,0.06987448781728745,Galil AR | Connexion (Factory New)
20,0.06278351694345474,Galil AR | Connexion (Factory New)
20,0.06645052134990692,Galil AR | Connexion (Factory New)
20,0.06766258180141449,Galil AR | Connexion (Factory New)
20,0.012823964469134808,Galil AR | Connexion (Factory New)
20,0.06674761325120926,Galil AR | Connexion (Factory New)
20.49,0.007251519709825516,Galil AR | Connexion (Factory New)
21.49,0.009300711564719677,Galil AR | Connexion (Factory New)
22,0.004132319241762161,Galil AR | Connexion (Factory New)
22.22,0.06858626008033752,Galil AR | Connexion (Factory New)
23.11,0.06545909494161606,Galil AR | Connexion (Factory New)
23.25,0.0625,Galil AR | Connexion (Factory New)
24,0.008807171136140823,Galil AR | Connexion (Factory New)
24.99,0.000996192335151136,Galil AR | Connexion (Factory New)
25,0.06986542791128159,Galil AR | Connexion (Factory New)
25,0.06625635921955109,Galil AR | Connexion (Factory New)
25,0.03225131332874298,Galil AR | Connexion (Factory New)
25,0.05202656611800194,Galil AR | Connexion (Factory New)
25,0.0008188069914467633,Galil AR | Connexion (Factory New)
25.44,0.05027226358652115,Galil AR | Connexion (Factory New)
26,0.05209451541304588,Galil AR | Connexion (Factory New)
26,0.06666527688503265,Galil AR | Connexion (Factory New)
26.01,0.06666292995214462,Galil AR | Connexion (Factory New)
27.99,0.0008812985615804791,Galil AR | Connexion (Factory New)
28,0.0007688116165809333,Galil AR | Connexion (Factory New)
28,0.009080528281629086,Galil AR | Connexion (Factory New)
29,0.06882535666227341,Galil AR | Connexion (Factory New)
29.5,0.0005102604627609253,Galil AR | Connexion (Factory New)
29.88,0.02982536517083645,Galil AR | Connexion (Factory New)
29.9,0.06941518187522888,Galil AR | Connexion (Factory New)
29.98,0.052288543432950974,Galil AR | Connexion (Factory New)
29.99,0.001074551371857524,Galil AR | Connexion (Factory New)
30,0.0646386593580246,Galil AR | Connexion (Factory New)
30,0.0009189640404656529,Galil AR | Connexion (Factory New)
30,0.0010503361700102687,Galil AR | Connexion (Factory New)
30,0.0007252417854033411,Galil AR | Connexion (Factory New)
30,0.059405889362096786,Galil AR | Connexion (Factory New)
33,0.055555541068315506,Galil AR | Connexion (Factory New)
33.51,0.0003739028761629015,Galil AR | Connexion (Factory New)
33.88,0.03865598887205124,Galil AR | Connexion (Factory New)
35,0.06629248708486557,Galil AR | Connexion (Factory New)
35,0.06666051596403122,Galil AR | Connexion (Factory New)
36,0.0005584561149589717,Galil AR | Connexion (Factory New)
36,0.0666683092713356,Galil AR | Connexion (Factory New)
39,0.00030598099692724645,Galil AR | Connexion (Factory New)
39.9,0.0002896270016208291,Galil AR | Connexion (Factory New)
40,0.0011799113126471639,Galil AR | Connexion (Factory New)
40,0.0004976775380782783,Galil AR | Connexion (Factory New)
40,0.00025084393564611673,Galil AR | Connexion (Factory New)
41,0.00020489002054091543,Galil AR | Connexion (Factory New)
44,0.00032447653939016163,Galil AR | Connexion (Factory New)
48,0.011876988224685192,Galil AR | Connexion (Factory New)
50,0.009669671766459942,Galil AR | Connexion (Factory New)
50,0.0005198207800276577,Galil AR | Connexion (Factory New)
50,0.005708741024136543,Galil AR | Connexion (Factory New)
50,0.0671510398387909,Galil AR | Connexion (Factory New)
50,0.0005075781373307109,Galil AR | Connexion (Factory New)
50,0.06834625452756882,Galil AR | Connexion (Factory New)
50,0.06782078742980957,Galil AR | Connexion (Factory New)
50,0.06447047740221024,Galil AR | Connexion (Factory New)
50,0.0661473497748375,Galil AR | Connexion (Factory New)
50,0.021683281287550926,Galil AR | Connexion (Factory New)
50,0.03263883665204048,Galil AR | Connexion (Factory New)
50,0.06804632395505905,Galil AR | Connexion (Factory New)
50,0.06843689829111099,Galil AR | Connexion (Factory New)
50,0.01943824626505375,Galil AR | Connexion (Factory New)
50,0.010756833478808403,Galil AR | Connexion (Factory New)
55,0.00024226808454841375,Galil AR | Connexion (Factory New)
55.5,0.05558116361498833,Galil AR | Connexion (Factory New)
58,0.00014218254364095628,Galil AR | Connexion (Factory New)
60,0.06999346613883972,Galil AR | Connexion (Factory New)
62.5,0.0625,Galil AR | Connexion (Factory New)
66,0.043511148542165756,Galil AR | Connexion (Factory New)
66,0.04234454035758972,Galil AR | Connexion (Factory New)
66,0.06666333228349686,Galil AR | Connexion (Factory New)
66,0.0005886706057935953,Galil AR | Connexion (Factory New)
68,0.06653761118650436,Galil AR | Connexion (Factory New)
68,0.00009159943874692544,Galil AR | Connexion (Factory New)
69,0.057906538248062134,Galil AR | Connexion (Factory New)
70,0.06666658818721771,Galil AR | Connexion (Factory New)
70,0.021409571170806885,Galil AR | Connexion (Factory New)
70,0.00010501732322154567,Galil AR | Connexion (Factory New)
72,0.06585075706243515,Galil AR | Connexion (Factory New)
80,0.00005582581434282474,Galil AR | Connexion (Factory New)
88,0.030413011088967323,Galil AR | Connexion (Factory New)
88,0.002630288014188409,Galil AR | Connexion (Factory New)
90,0.0020545830484479666,Galil AR | Connexion (Factory New)
92,0.00009661910735303536,Galil AR | Connexion (Factory New)
99,0.00037030837847851217,Galil AR | Connexion (Factory New)
99.99,0.05168020725250244,Galil AR | Connexion (Factory New)
100,0.05224980041384697,Galil AR | Connexion (Factory New)
100,0.06834755837917328,Galil AR | Connexion (Factory New)
100,0.06648951023817062,Galil AR | Connexion (Factory New)
100,0.035647980868816376,Galil AR | Connexion (Factory New)
100,0.06692605465650558,Galil AR | Connexion (Factory New)
111,0.04918066784739494,Galil AR | Connexion (Factory New)
131.67,0.00006789812323404476,Galil AR | Connexion (Factory New)
133.33,0.05573352053761482,Galil AR | Connexion (Factory New)
145,0.00005649505692417733,Galil AR | Connexion (Factory New)
150,0.00002682995364011731,Galil AR | Connexion (Factory New)
158,0.00005395945845521055,Galil AR | Connexion (Factory New)
169,0.06942149251699448,Galil AR | Connexion (Factory New)
188,0.06648393720388412,Galil AR | Connexion (Factory New)
259,0.06997609883546829,Galil AR | Connexion (Factory New)
295,0.0004331243399064988,Galil AR | Connexion (Factory New)
400,0.0462791733443737,Galil AR | Connexion (Factory New)
499.99,0.00001072902978194179,Galil AR | Connexion (Factory New)
500,0.00001558754593133926,Galil AR | Connexion (Factory New)
950,0.00000329060867443331,Galil AR | Connexion (Factory New)
4.91,0.12552408874034882,Galil AR | Connexion (Minimal Wear)
4.91,0.12427251785993576,Galil AR | Connexion (Minimal Wear)
4.92,0.10987937450408936,Galil AR | Connexion (Minimal Wear)
4.92,0.10939428955316544,Galil AR | Connexion (Minimal Wear)
4.92,0.10737501829862595,Galil AR | Connexion (Minimal Wear)
4.93,0.14977149665355682,Galil AR | Connexion (Minimal Wear)
4.93,0.14934676885604858,Galil AR | Connexion (Minimal Wear)
4.93,0.14744465053081512,Galil AR | Connexion (Minimal Wear)
4.93,0.14664326608181,Galil AR | Connexion (Minimal Wear)
4.93,0.1425938904285431,Galil AR | Connexion (Minimal Wear)
4.93,0.14238499104976654,Galil AR | Connexion (Minimal Wear)
4.93,0.13604836165905,Galil AR | Connexion (Minimal Wear)
4.93,0.1335160881280899,Galil AR | Connexion (Minimal Wear)
4.93,0.13138413429260254,Galil AR | Connexion (Minimal Wear)
4.93,0.13126890361309052,Galil AR | Connexion (Minimal Wear)
4.93,0.12871363759040833,Galil AR | Connexion (Minimal Wear)
4.93,0.12824904918670654,Galil AR | Connexion (Minimal Wear)
4.93,0.11969964951276779,Galil AR | Connexion (Minimal Wear)
4.93,0.1195630356669426,Galil AR | Connexion (Minimal Wear)
4.93,0.11786805838346481,Galil AR | Connexion (Minimal Wear)
4.95,0.13355964422225952,Galil AR | Connexion (Minimal Wear)
4.95,0.1467200070619583,Galil AR | Connexion (Minimal Wear)
4.97,0.13256500661373138,Galil AR | Connexion (Minimal Wear)
4.97,0.13185718655586243,Galil AR | Connexion (Minimal Wear)
4.97,0.13188481330871582,Galil AR | Connexion (Minimal Wear)
4.97,0.13253818452358246,Galil AR | Connexion (Minimal Wear)
4.97,0.13303719460964203,Galil AR | Connexion (Minimal Wear)
4.97,0.13817249238491058,Galil AR | Connexion (Minimal Wear)
4.97,0.14005309343338013,Galil AR | Connexion (Minimal Wear)
4.97,0.14094942808151245,Galil AR | Connexion (Minimal Wear)
4.97,0.1454276293516159,Galil AR | Connexion (Minimal Wear)
4.97,0.1455242931842804,Galil AR | Connexion (Minimal Wear)
4.97,0.1482565850019455,Galil AR | Connexion (Minimal Wear)
4.97,0.14962247014045715,Galil AR | Connexion (Minimal Wear)
4.99,0.13762621581554413,Galil AR | Connexion (Minimal Wear)
4.99,0.1346917748451233,Galil AR | Connexion (Minimal Wear)
4.99,0.14665256440639496,Galil AR | Connexion (Minimal Wear)
4.99,0.14225152134895325,Galil AR | Connexion (Minimal Wear)
4.99,0.10474015772342682,Galil AR | Connexion (Minimal Wear)
4.99,0.10430093109607697,Galil AR | Connexion (Minimal Wear)
4.99,0.10399317741394043,Galil AR | Connexion (Minimal Wear)
4.99,0.10959251970052719,Galil AR | Connexion (Minimal Wear)
4.99,0.10688139498233795,Galil AR | Connexion (Minimal Wear)
4.99,0.10856077820062637,Galil AR | Connexion (Minimal Wear)
4.99,0.10772005468606949,Galil AR | Connexion (Minimal Wear)
4.99,0.10390066355466843,Galil AR | Connexion (Minimal Wear)
4.99,0.10945077240467072,Galil AR | Connexion (Minimal Wear)
4.99,0.10766088962554932,Galil AR | Connexion (Minimal Wear)
5,0.13417571783065796,Galil AR | Connexion (Minimal Wear)
5,0.1286666840314865,Galil AR | Connexion (Minimal Wear)
5,0.131981760263443,Galil AR | Connexion (Minimal Wear)
5,0.14199678599834442,Galil AR | Connexion (Minimal Wear)
5,0.1260497272014618,Galil AR | Connexion (Minimal Wear)
5,0.13767248392105103,Galil AR | Connexion (Minimal Wear)
5,0.11078925430774689,Galil AR | Connexion (Minimal Wear)
5,0.11977904289960861,Galil AR | Connexion (Minimal Wear)
5,0.11366908997297287,Galil AR | Connexion (Minimal Wear)
5,0.11860103905200958,Galil AR | Connexion (Minimal Wear)
5,0.11429872363805771,Galil AR | Connexion (Minimal Wear)
5,0.1469011753797531,Galil AR | Connexion (Minimal Wear)
5,0.11904473602771759,Galil AR | Connexion (Minimal Wear)
5,0.14708416163921356,Galil AR | Connexion (Minimal Wear)
5,0.11602149158716202,Galil AR | Connexion (Minimal Wear)
5,0.1259252279996872,Galil AR | Connexion (Minimal Wear)
5,0.1476072072982788,Galil AR | Connexion (Minimal Wear)
5,0.14221173524856567,Galil AR | Connexion (Minimal Wear)
5,0.12897351384162903,Galil AR | Connexion (Minimal Wear)
5,0.14934879541397095,Galil AR | Connexion (Minimal Wear)
5,0.12255758047103882,Galil AR | Connexion (Minimal Wear)
5,0.1335245817899704,Galil AR | Connexion (Minimal Wear)
5,0.11780975013971329,Galil AR | Connexion (Minimal Wear)
5,0.14199881255626678,Galil AR | Connexion (Minimal Wear)
5,0.1414191573858261,Galil AR | Connexion (Minimal Wear)
5,0.14445370435714722,Galil AR | Connexion (Minimal Wear)
5,0.11114726215600967,Galil AR | Connexion (Minimal Wear)
5,0.1446671485900879,Galil AR | Connexion (Minimal Wear)
5,0.11888326704502106,Galil AR | Connexion (Minimal Wear)
5,0.11827709525823593,Galil AR | Connexion (Minimal Wear)
5,0.12709210813045502,Galil AR | Connexion (Minimal Wear)
5,0.11296247690916061,Galil AR | Connexion (Minimal Wear)
5,0.13916730880737305,Galil AR | Connexion (Minimal Wear)
5,0.11438383162021637,Galil AR | Connexion (Minimal Wear)
5,0.1065070778131485,Galil AR | Connexion (Minimal Wear)
5,0.11236133426427841,Galil AR | Connexion (Minimal Wear)
5,0.1397048383951187,Galil AR | Connexion (Minimal Wear)
5,0.1079094409942627,Galil AR | Connexion (Minimal Wear)
5,0.11152245849370956,Galil AR | Connexion (Minimal Wear)
5,0.10661748796701431,Galil AR | Connexion (Minimal Wear)
5,0.10611166059970856,Galil AR | Connexion (Minimal Wear)
5,0.12986335158348083,Galil AR | Connexion (Minimal Wear)
5.04,0.13177183270454407,Galil AR | Connexion (Minimal Wear)
5.05,0.11963190883398056,Galil AR | Connexion (Minimal Wear)
5.05,0.11734514683485031,Galil AR | Connexion (Minimal Wear)
5.05,0.11490248888731003,Galil AR | Connexion (Minimal Wear)
5.05,0.11178971827030182,Galil AR | Connexion (Minimal Wear)
5.05,0.11014659702777863,Galil AR | Connexion (Minimal Wear)
5.05,0.10883884876966476,Galil AR | Connexion (Minimal Wear)
5.05,0.10525055974721909,Galil AR | Connexion (Minimal Wear)
5.07,0.10273615270853043,Galil AR | Connexion (Minimal Wear)
5.07,0.10296634584665298,Galil AR | Connexion (Minimal Wear)
5.07,0.10733465105295181,Galil AR | Connexion (Minimal Wear)
5.09,0.14484994113445282,Galil AR | Connexion (Minimal Wear)
5.09,0.14033855497837067,Galil AR | Connexion (Minimal Wear)
5.09,0.12258235365152359,Galil AR | Connexion (Minimal Wear)
5.1,0.13848735392093658,Galil AR | Connexion (Minimal Wear)
5.13,0.1367950737476349,Galil AR | Connexion (Minimal Wear)
5.15,0.1376131772994995,Galil AR | Connexion (Minimal Wear)
5.15,0.1044868603348732,Galil AR | Connexion (Minimal Wear)
5.15,0.10607200115919113,Galil AR | Connexion (Minimal Wear)
5.19,0.14731985330581665,Galil AR | Connexion (Minimal Wear)
5.19,0.14900369942188263,Galil AR | Connexion (Minimal Wear)
5.19,0.1310735046863556,Galil AR | Connexion (Minimal Wear)
5.19,0.10250427573919296,Galil AR | Connexion (Minimal Wear)
5.19,0.10521381348371506,Galil AR | Connexion (Minimal Wear)
5.19,0.10652319341897964,Galil AR | Connexion (Minimal Wear)
5.2,0.1488252729177475,Galil AR | Connexion (Minimal Wear)
5.2,0.11143511533737183,Galil AR | Connexion (Minimal Wear)
5.2,0.14505338668823242,Galil AR | Connexion (Minimal Wear)
5.21,0.13429385423660278,Galil AR | Connexion (Minimal Wear)
5.25,0.11803145706653595,Galil AR | Connexion (Minimal Wear)
5.25,0.10279736667871475,Galil AR | Connexion (Minimal Wear)
5.25,0.10438545793294907,Galil AR | Connexion (Minimal Wear)
5.29,0.12843601405620575,Galil AR | Connexion (Minimal Wear)
5.3,0.14161880314350128,Galil AR | Connexion (Minimal Wear)
5.3,0.12883397936820984,Galil AR | Connexion (Minimal Wear)
5.3,0.10290632396936417,Galil AR | Connexion (Minimal Wear)
5.3,0.1279589980840683,Galil AR | Connexion (Minimal Wear)
5.3,0.11224137991666794,Galil AR | Connexion (Minimal Wear)
5.3,0.09761299192905426,Galil AR | Connexion (Minimal Wear)
5.31,0.09959143400192261,Galil AR | Connexion (Minimal Wear)
5.31,0.0997738167643547,Galil AR | Connexion (Minimal Wear)
5.32,0.09905462712049484,Galil AR | Connexion (Minimal Wear)
5.33,0.13659748435020447,Galil AR | Connexion (Minimal Wear)
5.35,0.13033568859100342,Galil AR | Connexion (Minimal Wear)
5.39,0.14648552238941193,Galil AR | Connexion (Minimal Wear)
5.4,0.14547640085220337,Galil AR | Connexion (Minimal Wear)
5.4,0.14297378063201904,Galil AR | Connexion (Minimal Wear)
5.4,0.14206092059612274,Galil AR | Connexion (Minimal Wear)
5.45,0.14373067021369934,Galil AR | Connexion (Minimal Wear)
5.5,0.10427280515432358,Galil AR | Connexion (Minimal Wear)
5.5,0.1490754932165146,Galil AR | Connexion (Minimal Wear)
5.5,0.13192081451416016,Galil AR | Connexion (Minimal Wear)
5.5,0.1233789250254631,Galil AR | Connexion (Minimal Wear)
5.5,0.11731193214654922,Galil AR | Connexion (Minimal Wear)
5.5,0.14691117405891418,Galil AR | Connexion (Minimal Wear)
5.5,0.13801449537277222,Galil AR | Connexion (Minimal Wear)
5.5,0.11976593732833862,Galil AR | Connexion (Minimal Wear)
5.5,0.13664405047893524,Galil AR | Connexion (Minimal Wear)
5.5,0.11719947308301926,Galil AR | Connexion (Minimal Wear)
5.5,0.11181970685720444,Galil AR | Connexion (Minimal Wear)
5.5,0.09903578460216522,Galil AR | Connexion (Minimal Wear)
5.5,0.11534494161605835,Galil AR | Connexion (Minimal Wear)
5.5,0.14460442960262299,Galil AR | Connexion (Minimal Wear)
5.55,0.14389577507972717,Galil AR | Connexion (Minimal Wear)
5.57,0.11498823016881943,Galil AR | Connexion (Minimal Wear)
5.6,0.11211215704679489,Galil AR | Connexion (Minimal Wear)
5.6,0.13548244535923004,Galil AR | Connexion (Minimal Wear)
5.6,0.118876151740551,Galil AR | Connexion (Minimal Wear)
5.6,0.0993088111281395,Galil AR | Connexion (Minimal Wear)
5.6,0.10771770775318146,Galil AR | Connexion (Minimal Wear)
5.65,0.12356732040643692,Galil AR | Connexion (Minimal Wear)
5.66,0.09713145345449448,Galil AR | Connexion (Minimal Wear)
5.67,0.13348424434661865,Galil AR | Connexion (Minimal Wear)
5.68,0.11399751901626587,Galil AR | Connexion (Minimal Wear)
5.7,0.11133892834186554,Galil AR | Connexion (Minimal Wear)
5.7,0.11313469707965851,Galil AR | Connexion (Minimal Wear)
5.72,0.13378730416297913,Galil AR | Connexion (Minimal Wear)
5.72,0.11979693174362183,Galil AR | Connexion (Minimal Wear)
5.72,0.1372501701116562,Galil AR | Connexion (Minimal Wear)
5.72,0.1391671746969223,Galil AR | Connexion (Minimal Wear)
5.75,0.09808193892240524,Galil AR | Connexion (Minimal Wear)
5.79,0.11768386512994766,Galil AR | Connexion (Minimal Wear)
5.79,0.1291300505399704,Galil AR | Connexion (Minimal Wear)
5.8,0.10618525743484497,Galil AR | Connexion (Minimal Wear)
5.8,0.13433769345283508,Galil AR | Connexion (Minimal Wear)
5.8,0.1068732962012291,Galil AR | Connexion (Minimal Wear)
5.88,0.10029017925262451,Galil AR | Connexion (Minimal Wear)
5.88,0.10225637257099152,Galil AR | Connexion (Minimal Wear)
5.88,0.10304544121026993,Galil AR | Connexion (Minimal Wear)
5.88,0.11036396026611328,Galil AR | Connexion (Minimal Wear)
5.88,0.10593780130147934,Galil AR | Connexion (Minimal Wear)
5.88,0.10170692205429077,Galil AR | Connexion (Minimal Wear)
5.88,0.10712692886590958,Galil AR | Connexion (Minimal Wear)
5.88,0.10394135862588882,Galil AR | Connexion (Minimal Wear)
5.89,0.13584648072719574,Galil AR | Connexion (Minimal Wear)
5.89,0.1176232323050499,Galil AR | Connexion (Minimal Wear)
5.9,0.13353699445724487,Galil AR | Connexion (Minimal Wear)
5.96,0.08646397292613983,Galil AR | Connexion (Minimal Wear)
5.97,0.08781036734580994,Galil AR | Connexion (Minimal Wear)
5.97,0.0893486961722374,Galil AR | Connexion (Minimal Wear)
5.97,0.08979060500860214,Galil AR | Connexion (Minimal Wear)
5.98,0.1415795534849167,Galil AR | Connexion (Minimal Wear)
5.98,0.08899103850126266,Galil AR | Connexion (Minimal Wear)
5.98,0.08874068409204483,Galil AR | Connexion (Minimal Wear)
5.99,0.1339414119720459,Galil AR | Connexion (Minimal Wear)
6,0.11683671921491623,Galil AR | Connexion (Minimal Wear)
6,0.12952683866024017,Galil AR | Connexion (Minimal Wear)
6,0.10461264103651047,Galil AR | Connexion (Minimal Wear)
6,0.14408090710639954,Galil AR | Connexion (Minimal Wear)
6,0.13352267444133759,Galil AR | Connexion (Minimal Wear)
6,0.13719269633293152,Galil AR | Connexion (Minimal Wear)
6,0.133950337767601,Galil AR | Connexion (Minimal Wear)
6,0.13887588679790497,Galil AR | Connexion (Minimal Wear)
6,0.12295613437891006,Galil AR | Connexion (Minimal Wear)
6,0.09368301182985306,Galil AR | Connexion (Minimal Wear)
6,0.13043169677257538,Galil AR | Connexion (Minimal Wear)
6,0.12728644907474518,Galil AR | Connexion (Minimal Wear)
6,0.12797363102436066,Galil AR | Connexion (Minimal Wear)
6,0.10970505326986313,Galil AR | Connexion (Minimal Wear)
6,0.13435234129428864,Galil AR | Connexion (Minimal Wear)
6,0.11627357453107834,Galil AR | Connexion (Minimal Wear)
6,0.10971194505691528,Galil AR | Connexion (Minimal Wear)
6,0.13949178159236908,Galil AR | Connexion (Minimal Wear)
6,0.09635099023580551,Galil AR | Connexion (Minimal Wear)
6,0.11684694141149521,Galil AR | Connexion (Minimal Wear)
6,0.11123492568731308,Galil AR | Connexion (Minimal Wear)
6,0.13447679579257965,Galil AR | Connexion (Minimal Wear)
6,0.0948014184832573,Galil AR | Connexion (Minimal Wear)
6,0.1071702241897583,Galil AR | Connexion (Minimal Wear)
6,0.10378088802099228,Galil AR | Connexion (Minimal Wear)
6,0.10514026135206223,Galil AR | Connexion (Minimal Wear)
6,0.09889714419841766,Galil AR | Connexion (Minimal Wear)
6,0.0966656506061554,Galil AR | Connexion (Minimal Wear)
6,0.11412226408720016,Galil AR | Connexion (Minimal Wear)
6,0.09352859109640121,Galil AR | Connexion (Minimal Wear)
6,0.14770352840423584,Galil AR | Connexion (Minimal Wear)
6,0.0898619070649147,Galil AR | Connexion (Minimal Wear)
6,0.12186872959136963,Galil AR | Connexion (Minimal Wear)
6.01,0.08947231620550156,Galil AR | Connexion (Minimal Wear)
6.01,0.08889253437519073,Galil AR | Connexion (Minimal Wear)
6.01,0.08949905633926392,Galil AR | Connexion (Minimal Wear)
6.01,0.08984001725912094,Galil AR | Connexion (Minimal Wear)
6.01,0.08806438744068146,Galil AR | Connexion (Minimal Wear)
